player,team,position,x,y
Pronay Halder,Jamshedpur,Left Defensive Midfield,34.0,46.9
Boris Singh Thangjam,Jamshedpur,Right Wing,55.0,57.2
Jonathas Cristian de Jesus,Odisha,Center Forward,62.9,31.5
Komal Thatal,Jamshedpur,Left Wing,77.5,36.3
Paul Ramfangzauva,Odisha,Left Wing,39.7,45.6
Isaac Vanmalsawma Chhakchhuak,Odisha,Right Wing,101.9,40.4
Lalruatthara Lalruatthara,Odisha,Left Back,5.0,9.0
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,15.0,33.2
Nikhil Raj Murugesh Kumar,Odisha,Left Wing,15.3,22.7
Jordan Murray,Jamshedpur,Right Defensive Midfield,58.9,59.1
Jonathas Cristian de Jesus,Odisha,Center Forward,103.1,34.8
Vinit Rai Chamling,Odisha,Left Defensive Midfield,39.0,41.2
Pronay Halder,Jamshedpur,Left Defensive Midfield,12.0,31.6
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,111.5,70.1
Boris Singh Thangjam,Jamshedpur,Right Wing,90.9,26.4
Liridon Krasniqi,Odisha,Right Defensive Midfield,35.4,48.2
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,51.4,65.7
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,50.3,74.6
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,27.6,77.6
Vinit Rai Chamling,Odisha,Left Defensive Midfield,23.1,75.6
Gaurav Bora,Odisha,Right Center Back,17.6,52.9
Gaurav Bora,Odisha,Right Center Back,47.9,74.5
Vinit Rai Chamling,Odisha,Left Defensive Midfield,44.2,6.6
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,101.9,37.1
Jonathas Cristian de Jesus,Odisha,Center Forward,95.6,36.6
Komal Thatal,Jamshedpur,Left Wing,74.8,1.3
Komal Thatal,Jamshedpur,Left Wing,60.3,21.9
Pronay Halder,Jamshedpur,Left Defensive Midfield,65.0,17.2
Greg Stewart,Jamshedpur,Right Defensive Midfield,42.5,50.8
Komal Thatal,Jamshedpur,Left Wing,9.2,18.9
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,89.2,67.3
Víctor Mongil Adeva,Odisha,Left Center Back,20.1,30.7
Komal Thatal,Jamshedpur,Left Wing,40.7,3.3
Boris Singh Thangjam,Jamshedpur,Right Wing,47.8,13.8
Greg Stewart,Jamshedpur,Right Defensive Midfield,63.6,34.9
Ritwik Kumar Das,Jamshedpur,Left Wing,66.2,34.2
Greg Stewart,Jamshedpur,Right Defensive Midfield,13.2,19.2
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,117.3,76.2
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,89.0,76.8
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,19.5,75.2
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,10.8,65.7
Isaac Vanmalsawma Chhakchhuak,Odisha,Left Wing,87.3,12.6
Jonathas Cristian de Jesus,Odisha,Center Forward,85.4,15.6
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,85.4,51.3
Eli Sabia Filho,Jamshedpur,Left Center Back,42.0,11.7
Boris Singh Thangjam,Jamshedpur,Right Wing,28.9,45.3
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,63.7,22.7
Boris Singh Thangjam,Jamshedpur,Right Wing,87.2,71.0
Lalhrezuala Sailung,Odisha,Right Back,40.8,72.9
Ritwik Kumar Das,Jamshedpur,Left Wing,75.1,3.3
Ricky Lallawmawma,Jamshedpur,Left Back,70.6,3.9
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,55.3,75.2
Liridon Krasniqi,Odisha,Right Defensive Midfield,38.1,77.0
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,22.8,77.0
Nikhil Raj Murugesh Kumar,Odisha,Right Wing,23.7,76.5
Lalhrezuala Sailung,Odisha,Right Back,7.2,59.5
Boris Singh Thangjam,Jamshedpur,Right Wing,38.9,57.0
Narender Gahlot,Jamshedpur,Right Center Back,25.4,40.8
Ritwik Kumar Das,Jamshedpur,Left Wing,28.1,35.0
Francisco Javier Hernández González,Odisha,Center Attacking Midfield,93.1,39.6
Eduardo García Martín,Hyderabad,Center Attacking Midfield,77.7,21.8
Nerijus Valskis,Chennaiyin,Left Center Forward,114.1,54.7
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,92.9,72.7
Nikhil Poojary,Hyderabad,Right Wing,80.0,73.1
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,101.0,3.5
Nikhil Poojary,Hyderabad,Right Wing,43.6,77.8
Narayan Das,Chennaiyin,Left Center Back,71.5,2.3
Slavko Damjanović,Chennaiyin,Center Back,68.5,2.3
Javier Siverio Toro,Hyderabad,Center Forward,92.0,67.3
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,67.3,59.9
Aniket Anil Jadhav,Hyderabad,Left Wing,23.9,20.5
Juan Antonio González Fernández,Hyderabad,Left Center Back,18.9,18.9
Akash Mishra,Hyderabad,Left Back,20.7,4.1
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,101.4,75.6
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,96.4,74.0
Anirudh Thapa,Chennaiyin,Right Center Midfield,90.8,74.6
Juan Antonio González Fernández,Hyderabad,Left Center Back,19.1,20.9
Anirudh Thapa,Chennaiyin,Right Center Midfield,96.0,70.4
Narayan Das,Chennaiyin,Left Center Back,47.6,48.9
Akash Mishra,Hyderabad,Left Back,36.2,30.0
Mirlan Murzaev,Chennaiyin,Right Center Forward,96.2,50.3
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,108.7,73.8
Narayan Das,Chennaiyin,Left Center Back,52.4,43.3
Nikhil Poojary,Hyderabad,Right Wing,77.5,52.1
Javier Siverio Toro,Hyderabad,Center Forward,79.7,75.2
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,103.6,2.7
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,102.2,4.1
Mirlan Murzaev,Chennaiyin,Right Center Forward,99.2,3.1
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,52.6,45.4
Akash Mishra,Hyderabad,Left Back,44.6,22.3
Anirudh Thapa,Chennaiyin,Right Center Midfield,67.3,52.7
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,96.2,4.1
Asish Rai,Hyderabad,Right Back,32.7,68.7
Eduardo García Martín,Hyderabad,Center Attacking Midfield,77.7,25.7
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,22.9,52.7
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,37.9,70.8
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,24.9,48.5
Anirudh Thapa,Chennaiyin,Right Center Midfield,29.3,72.6
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,89.8,28.2
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,105.9,12.1
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,37.0,20.5
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,44.8,4.3
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,74.7,75.6
Anirudh Thapa,Chennaiyin,Right Center Midfield,53.6,36.7
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,13.4,44.5
Narayan Das,Chennaiyin,Left Center Back,14.0,32.7
Narayan Das,Chennaiyin,Left Center Back,13.0,32.5
Mirlan Murzaev,Chennaiyin,Right Center Forward,45.0,11.6
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,38.1,3.1
Narayan Das,Chennaiyin,Left Center Back,13.0,5.1
Asish Rai,Hyderabad,Right Back,16.1,69.3
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,49.2,76.2
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,43.6,63.1
Akash Mishra,Hyderabad,Left Back,51.0,8.7
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,53.2,6.5
Eduardo García Martín,Hyderabad,Center Attacking Midfield,84.4,62.9
Anirudh Thapa,Chennaiyin,Right Center Midfield,36.5,73.8
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,24.9,62.4
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,87.6,14.3
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,12.1,75.4
Narayan Das,Chennaiyin,Left Center Back,57.8,12.8
Asish Rai,Hyderabad,Right Back,51.0,65.3
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,68.3,51.7
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,72.9,19.7
Anirudh Thapa,Chennaiyin,Right Center Midfield,45.8,67.4
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,29.1,59.6
Nikhil Poojary,Hyderabad,Right Wing,72.3,77.6
Eduardo García Martín,Hyderabad,Center Attacking Midfield,77.1,75.2
Juan Antonio González Fernández,Hyderabad,Left Center Back,56.8,53.7
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,14.0,70.6
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,104.4,6.1
Asish Rai,Hyderabad,Right Back,58.9,66.3
Asish Rai,Hyderabad,Right Back,45.0,74.8
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,29.3,55.5
Anirudh Thapa,Chennaiyin,Right Center Midfield,84.1,12.2
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,26.4,72.4
Anirudh Thapa,Chennaiyin,Right Center Midfield,29.4,67.7
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,26.2,65.2
Slavko Damjanović,Chennaiyin,Center Back,20.2,48.5
Anirudh Thapa,Chennaiyin,Right Center Midfield,27.0,44.0
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,22.5,51.1
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,15.9,63.5
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,37.3,39.3
Slavko Damjanović,Chennaiyin,Center Back,29.8,41.4
Akash Mishra,Hyderabad,Left Back,84.5,29.3
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,86.9,33.5
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,27.0,67.5
Mirlan Murzaev,Chennaiyin,Right Center Forward,107.2,16.8
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,106.2,4.2
Asish Rai,Hyderabad,Right Back,7.1,73.5
Mirlan Murzaev,Chennaiyin,Right Center Forward,116.6,10.0
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,52.0,53.8
Javier Siverio Toro,Hyderabad,Center Forward,81.3,14.5
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,68.3,52.1
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,92.9,5.7
Mirlan Murzaev,Chennaiyin,Right Center Forward,57.6,50.7
Narayan Das,Chennaiyin,Left Center Back,2.6,22.2
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,37.3,30.0
Nerijus Valskis,Chennaiyin,Left Center Forward,109.1,3.5
Nikhil Poojary,Hyderabad,Right Wing,35.8,76.8
Nikhil Poojary,Hyderabad,Right Wing,18.1,77.0
Nikhil Poojary,Hyderabad,Right Wing,47.2,78.0
Nikhil Poojary,Hyderabad,Right Wing,36.8,77.0
Juan Antonio González Fernández,Hyderabad,Left Center Back,27.9,56.5
Juan Antonio González Fernández,Hyderabad,Left Center Back,27.1,68.5
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,20.5,68.2
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,29.1,71.2
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,15.7,68.2
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,13.4,2.9
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,12.6,65.0
Nikhil Poojary,Hyderabad,Right Wing,7.4,70.9
Anirudh Thapa,Chennaiyin,Right Center Midfield,80.7,74.6
Eduardo García Martín,Hyderabad,Center Attacking Midfield,93.4,35.0
Mirlan Murzaev,Chennaiyin,Right Center Forward,49.4,1.3
Nikhil Poojary,Hyderabad,Right Wing,76.9,70.7
Eduardo García Martín,Hyderabad,Center Attacking Midfield,73.3,53.3
Anirudh Thapa,Chennaiyin,Right Center Midfield,16.5,66.4
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,13.6,73.6
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,11.0,69.0
Anirudh Thapa,Chennaiyin,Right Center Midfield,67.7,66.2
Slavko Damjanović,Chennaiyin,Center Back,25.5,48.7
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,17.1,55.8
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,9.2,50.1
Nikhil Poojary,Hyderabad,Right Wing,114.1,37.2
Asish Rai,Hyderabad,Right Back,36.4,72.8
Nikhil Poojary,Hyderabad,Right Wing,32.1,76.2
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,36.8,70.5
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,33.1,71.7
Javier Siverio Toro,Hyderabad,Center Forward,66.3,43.8
Juan Antonio González Fernández,Hyderabad,Left Center Back,17.7,24.9
Akash Mishra,Hyderabad,Left Back,18.1,26.4
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,11.6,31.9
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,37.7,60.2
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,42.6,67.6
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,32.3,72.8
Anirudh Thapa,Chennaiyin,Right Center Midfield,14.6,74.2
Anirudh Thapa,Chennaiyin,Right Center Midfield,69.2,74.5
Anirudh Thapa,Chennaiyin,Right Center Midfield,69.0,70.7
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,35.6,22.1
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,58.6,51.3
Narayan Das,Chennaiyin,Left Center Back,33.9,35.9
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,52.6,75.7
Akash Mishra,Hyderabad,Left Back,95.6,7.8
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,84.8,51.3
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,13.3,65.9
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,15.3,62.9
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,14.0,18.2
Anirudh Thapa,Chennaiyin,Right Center Midfield,49.5,76.3
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,17.3,74.6
Juan Antonio González Fernández,Hyderabad,Left Center Back,43.7,5.2
Asish Rai,Hyderabad,Right Back,25.6,67.2
Narayan Das,Chennaiyin,Left Center Back,89.0,7.7
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,77.9,11.2
Javier Siverio Toro,Hyderabad,Center Forward,94.2,57.4
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,21.9,10.9
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,20.1,5.2
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,27.6,24.8
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,12.9,7.9
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,98.6,47.5
Konsham Chinglensana Singh,Hyderabad,Right Center Back,47.2,71.1
Asish Rai,Hyderabad,Right Back,29.3,71.6
Javier Siverio Toro,Hyderabad,Center Forward,91.4,72.4
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,94.7,7.2
Asish Rai,Hyderabad,Right Back,8.6,55.5
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,9.2,56.6
Konsham Chinglensana Singh,Hyderabad,Right Center Back,4.5,51.0
Mohammad Sajid Dhot,Chennaiyin,Right Center Back,6.2,67.9
Nikhil Poojary,Hyderabad,Right Wing,111.2,60.5
Narayan Das,Chennaiyin,Left Center Back,27.9,9.6
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,47.9,68.5
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,18.3,22.6
Javier Siverio Toro,Hyderabad,Center Forward,82.0,61.7
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,102.3,29.8
Konsham Chinglensana Singh,Hyderabad,Right Center Back,47.3,63.0
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,62.8,61.1
Souvik Chakrabarti,Hyderabad,Left Defensive Midfield,42.6,55.3
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,37.9,56.7
Konsham Chinglensana Singh,Hyderabad,Right Center Back,27.8,56.0
Eduardo García Martín,Hyderabad,Center Attacking Midfield,24.5,50.0
Mirlan Murzaev,Chennaiyin,Right Center Forward,80.3,16.2
Łukasz Gikiewicz,Chennaiyin,Right Center Forward,47.3,9.0
Slavko Damjanović,Chennaiyin,Center Back,29.7,36.6
Sahil Tavora,Hyderabad,Left Defensive Midfield,75.9,17.5
Javier Siverio Toro,Hyderabad,Center Forward,107.9,38.5
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,110.9,77.7
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,45.9,64.4
Sahil Tavora,Hyderabad,Left Defensive Midfield,6.2,18.1
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,78.1,11.5
Asish Rai,Hyderabad,Right Back,47.9,69.2
Sahil Tavora,Hyderabad,Left Defensive Midfield,30.1,24.7
Asish Rai,Hyderabad,Right Back,15.7,64.2
Germanpreet Singh,Chennaiyin,Center Defensive Midfield,111.4,18.1
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,26.7,72.9
Sahil Tavora,Hyderabad,Left Defensive Midfield,73.4,3.8
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,23.3,68.4
Sahil Tavora,Hyderabad,Left Defensive Midfield,90.1,16.1
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,80.3,17.2
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,42.9,76.8
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,12.0,9.1
Asish Rai,Hyderabad,Right Back,117.6,67.0
Juan Antonio González Fernández,Hyderabad,Left Center Back,34.0,51.9
Rahim Ali,Chennaiyin,Left Center Forward,101.7,47.6
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,22.0,7.3
Narayan Das,Chennaiyin,Left Center Back,23.4,19.6
Eduardo García Martín,Hyderabad,Center Attacking Midfield,84.3,58.8
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,62.0,64.4
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,39.2,12.8
Asish Rai,Hyderabad,Right Back,37.5,42.0
Sahil Tavora,Hyderabad,Left Defensive Midfield,54.5,42.8
Sahil Tavora,Hyderabad,Left Defensive Midfield,35.9,59.4
Sahil Tavora,Hyderabad,Left Defensive Midfield,27.8,66.6
Sahil Tavora,Hyderabad,Left Defensive Midfield,36.8,70.2
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,81.5,12.6
Mohammad Yasir,Hyderabad,Right Wing,37.3,64.2
Akash Mishra,Hyderabad,Left Back,23.1,5.2
Javier Siverio Toro,Hyderabad,Center Forward,86.5,68.1
Sahil Tavora,Hyderabad,Left Defensive Midfield,43.2,70.2
Asish Rai,Hyderabad,Right Back,6.2,70.2
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,105.0,30.1
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,26.4,40.5
Akash Mishra,Hyderabad,Left Back,36.7,7.2
Mohammad Yasir,Hyderabad,Right Wing,33.7,27.4
Asish Rai,Hyderabad,Right Back,19.0,65.0
Asish Rai,Hyderabad,Right Back,15.3,73.1
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,108.4,6.3
Aniket Anil Jadhav,Hyderabad,Left Wing,47.6,2.8
Konsham Chinglensana Singh,Hyderabad,Right Center Back,33.2,16.1
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,45.4,68.4
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,79.4,9.0
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,14.8,59.9
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,50.3,9.0
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,40.6,24.7
Sahil Tavora,Hyderabad,Left Defensive Midfield,36.7,18.0
Javier Siverio Toro,Hyderabad,Center Forward,76.5,38.8
Eduardo García Martín,Hyderabad,Center Attacking Midfield,83.1,63.8
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,64.0,67.5
Aaren D''Silva,Hyderabad,Left Wing,57.2,21.6
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,57.6,40.2
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,31.5,7.6
Edwin Sydney Vanspaul,Chennaiyin,Left Center Midfield,39.2,9.0
Anirudh Thapa,Chennaiyin,Right Center Midfield,30.3,62.7
Khumanthem Ninthoinganba Meetei,Chennaiyin,Right Wing Back,28.7,76.3
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,104.5,47.7
Lallianzuala Chhangte,Chennaiyin,Left Center Midfield,21.5,11.6
Lallianzuala Chhangte,Chennaiyin,Left Center Midfield,29.7,10.2
Lallianzuala Chhangte,Chennaiyin,Left Center Midfield,54.8,13.1
Jerry Lalrinzuala,Chennaiyin,Left Wing Back,43.1,7.9
Łukasz Gikiewicz,Chennaiyin,Right Center Forward,52.8,29.9
Konsham Chinglensana Singh,Hyderabad,Right Center Back,20.3,58.8
Sahil Tavora,Hyderabad,Left Defensive Midfield,6.7,11.1
Mohammad Yasir,Hyderabad,Right Wing,22.5,21.4
Sahil Tavora,Hyderabad,Left Defensive Midfield,35.3,26.7
João Victor de Albuquerque Bruno,Hyderabad,Right Defensive Midfield,10.7,65.6
Javier Siverio Toro,Hyderabad,Center Forward,32.9,24.9
Prince Vinny Ibara Doniama,Bengaluru,Right Wing,87.4,76.9
Saviour Gama,Goa,Left Wing Back,46.2,4.7
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,47.3,6.7
Iman Basafa,Bengaluru,Right Center Midfield,87.7,63.1
Prince Vinny Ibara Doniama,Bengaluru,Right Wing,63.6,76.9
Aibanbha Kupar Dohling,Goa,Left Center Back,50.8,3.8
Danish Farooq Bhat,Bengaluru,Left Center Midfield,73.9,73.1
Danish Farooq Bhat,Bengaluru,Left Center Midfield,57.9,68.8
Glan Martins,Goa,Left Defensive Midfield,61.1,22.7
Naorem Roshan Singh,Bengaluru,Right Back,62.2,76.6
Devendra Dhaku Murgaokar,Goa,Left Center Forward,88.0,22.7
Cleiton Augusto Oliveira Silva,Bengaluru,Center Forward,99.1,18.4
Muhammad Ashique Kuruniyan,Bengaluru,Left Back,43.5,7.0
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,64.8,46.8
Wungngayam Muirang,Bengaluru,Left Center Back,36.1,36.7
Sunil Chhetri,Bengaluru,Left Wing,32.7,28.4
Muhammad Ashique Kuruniyan,Bengaluru,Left Back,9.7,16.7
Cleiton Augusto Oliveira Silva,Bengaluru,Center Forward,52.1,20.7
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,27.8,45.6
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,69.1,10.7
Saviour Gama,Goa,Left Wing Back,48.5,4.4
Iman Basafa,Bengaluru,Right Center Midfield,69.3,74.3
Naorem Roshan Singh,Bengaluru,Right Back,51.6,73.4
Danish Farooq Bhat,Bengaluru,Left Center Midfield,76.2,8.1
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,51.9,63.4
Devendra Dhaku Murgaokar,Goa,Left Center Forward,100.0,71.1
Saviour Gama,Goa,Left Wing Back,34.7,12.4
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,77.1,62.8
Seriton Fernandes,Goa,Right Wing Back,55.4,64.0
Seriton Fernandes,Goa,Right Wing Back,49.9,71.4
Muhammad Ashique Kuruniyan,Bengaluru,Left Back,73.9,18.4
Cleiton Augusto Oliveira Silva,Bengaluru,Center Forward,103.7,15.0
Muhammad Ashique Kuruniyan,Bengaluru,Left Back,75.1,25.0
Saviour Gama,Goa,Left Wing Back,84.0,9.5
Devendra Dhaku Murgaokar,Goa,Left Center Forward,101.5,5.8
Devendra Dhaku Murgaokar,Goa,Left Center Forward,103.8,22.1
Danish Farooq Bhat,Bengaluru,Left Center Midfield,42.0,14.7
Cleiton Augusto Oliveira Silva,Bengaluru,Center Forward,66.3,21.8
Prince Vinny Ibara Doniama,Bengaluru,Right Wing,86.5,63.7
Dylan Fox,Goa,Center Back,34.2,20.4
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,57.6,9.0
Seriton Fernandes,Goa,Right Wing Back,80.6,53.7
Prince Vinny Ibara Doniama,Bengaluru,Right Wing,57.6,40.2
Pratik Prabhakar Chaudhari,Bengaluru,Right Center Back,30.4,46.8
Wungngayam Muirang,Bengaluru,Left Center Back,4.6,11.5
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,39.3,43.4
Muhammad Ashique Kuruniyan,Bengaluru,Left Back,14.9,13.8
Jorge Ortiz Mendoza,Goa,Right Center Forward,113.8,60.8
Aibanbha Kupar Dohling,Goa,Left Center Back,27.0,10.4
Princeton Rebello,Goa,Left Defensive Midfield,32.4,4.7
Devendra Dhaku Murgaokar,Goa,Left Center Forward,46.5,6.7
Saviour Gama,Goa,Left Wing Back,35.9,5.5
Cleiton Augusto Oliveira Silva,Bengaluru,Center Forward,91.7,69.7
Saviour Gama,Goa,Left Wing Back,30.4,5.5
Saviour Gama,Goa,Left Wing Back,32.4,9.0
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,27.8,8.4
Alberto Noguera Ripoll,Goa,Center Attacking Midfield,31.3,2.7
Sunil Chhetri,Bengaluru,Left Wing,111.7,49.4
Danish Farooq Bhat,Bengaluru,Left Center Midfield,37.0,17.3
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,75.4,55.1
Seriton Fernandes,Goa,Right Wing Back,77.1,66.3
Jorge Ortiz Mendoza,Goa,Right Center Forward,86.9,67.7
Danish Farooq Bhat,Bengaluru,Left Center Midfield,75.1,39.0
Aibanbha Kupar Dohling,Goa,Left Center Back,46.5,44.8
Princeton Rebello,Goa,Left Defensive Midfield,35.0,35.3
Prince Vinny Ibara Doniama,Bengaluru,Right Wing,103.4,59.4
Devendra Dhaku Murgaokar,Goa,Left Center Forward,16.4,21.6
Jorge Ortiz Mendoza,Goa,Right Center Forward,72.8,65.7
Seriton Fernandes,Goa,Right Wing Back,23.3,70.9
Bruno Edgar Silva Almeida,Bengaluru,Center Defensive Midfield,83.7,24.1
Pratik Prabhakar Chaudhari,Bengaluru,Right Center Back,46.1,74.6
Iman Basafa,Bengaluru,Right Center Midfield,57.6,74.6
Iman Basafa,Bengaluru,Right Center Midfield,67.0,76.9
Saviour Gama,Goa,Left Wing Back,46.2,9.0
Bruno Edgar Silva Almeida,Bengaluru,Center Defensive Midfield,26.9,17.8
Wungngayam Muirang,Bengaluru,Left Center Back,67.9,31.0
Danish Farooq Bhat,Bengaluru,Left Center Midfield,71.6,33.3
Eduardo Bedia Peláez,Goa,Right Defensive Midfield,43.9,51.4
Princeton Rebello,Goa,Left Defensive Midfield,41.6,35.3
Seriton Fernandes,Goa,Right Wing Back,66.8,62.8
Seriton Fernandes,Goa,Right Wing Back,90.3,72.6
Iman Basafa,Bengaluru,Right Center Midfield,53.3,42.5
Sunil Chhetri,Bengaluru,Left Wing,40.1,17.8
